name,full_name,tag,id,base,base_name,second,second_name
AED/MAD,AED/MAD - UAE Dirham Moroccan Dirham,aed-mad,9292,AED,UAE Dirham,MAD,Moroccan Dirham
AED/MXN,AED/MXN - UAE Dirham Mexican Peso,aed-mxn,9293,AED,UAE Dirham,MXN,Mexican Peso
AED/NOK,AED/NOK - UAE Dirham Norwegian Krone,aed-nok,9294,AED,UAE Dirham,NOK,Norwegian Krone
AED/NZD,AED/NZD - UAE Dirham New Zealand Dollar,aed-nzd,9295,AED,UAE Dirham,NZD,New Zealand Dollar
AED/PHP,AED/PHP - UAE Dirham Philippine Peso,aed-php,9296,AED,UAE Dirham,PHP,Philippine Peso
AED/PLN,AED/PLN - UAE Dirham Polish Zloty,aed-pln,9297,AED,UAE Dirham,PLN,Polish Zloty
AED/RUB,AED/RUB - UAE Dirham Russian Ruble,aed-rub,9298,AED,UAE Dirham,RUB,Russian Ruble
AED/SAR,AED/SAR - UAE Dirham Saudi Riyal,aed-sar,9299,AED,UAE Dirham,SAR,Saudi Riyal
AED/SEK,AED/SEK - UAE Dirham Swedish Krona,aed-sek,9300,AED,UAE Dirham,SEK,Swedish Krona
AED/SGD,AED/SGD - UAE Dirham Singapore Dollar,aed-sgd,9301,AED,UAE Dirham,SGD,Singapore Dollar
AED/THB,AED/THB - UAE Dirham Thai Baht,aed-thb,9302,AED,UAE Dirham,THB,Thai Baht
AED/TRY,AED/TRY - UAE Dirham Turkish Lira,aed-try,9303,AED,UAE Dirham,TRY,Turkish Lira
AED/USD,AED/USD - UAE Dirham US Dollar,aed-usd,9304,AED,UAE Dirham,USD,US Dollar
AED/VES,AED/VES - UAE Dirham Venezuelan Bolivar,aed-vef,9305,AED,UAE Dirham,VES,Venezuelan Bolivar
AED/XAF,AED/XAF - UAE Dirham Central African Franc,aed-xaf,9306,AED,UAE Dirham,XAF,Central African Franc
AED/XCD,AED/XCD - UAE Dirham East Caribbean Dollar,aed-xcd,9307,AED,UAE Dirham,XCD,East Caribbean Dollar
AED/ZAR,AED/ZAR - UAE Dirham South African Rand,aed-zar,9308,AED,UAE Dirham,ZAR,South African Rand
AED/BBD,AED/BBD - UAE Dirham Barbadian Dollar,aed-bbd,9309,AED,UAE Dirham,BBD,Barbadian Dollar
AED/BHD,AED/BHD - UAE Dirham Baharain Dinar,aed-bhd,9310,AED,UAE Dirham,BHD,Baharain Dinar
AED/JOD,AED/JOD - UAE Dirham Jordan Dinar,aed-jod,9312,AED,UAE Dirham,JOD,Jordan Dinar
AED/NAD,AED/NAD - UAE Dirham Namibian Dollar,aed-nad,9313,AED,UAE Dirham,NAD,Namibian Dollar
AED/OMR,AED/OMR - UAE Dirham Omani Rial,aed-omr,9314,AED,UAE Dirham,OMR,Omani Rial
AED/QAR,AED/QAR - UAE Dirham Qatari Riyal,aed-qar,9315,AED,UAE Dirham,QAR,Qatari Riyal
AED/JMD,AED/JMD - UAE Dirham Jamaican Dollar,aed-jmd,9316,AED,UAE Dirham,JMD,Jamaican Dollar
AED/KES,AED/KES - UAE Dirham Kenyan Shilling,aed-kes,9317,AED,UAE Dirham,KES,Kenyan Shilling
AED/LKR,AED/LKR - UAE Dirham Sri Lankan Rupee,aed-lkr,9318,AED,UAE Dirham,LKR,Sri Lankan Rupee
AED/RON,AED/RON - UAE Dirham Romanian Leu,aed-ron,9320,AED,UAE Dirham,RON,Romanian Leu
AED/LBP,AED/LBP - UAE Dirham Lebanese Pound,aed-lbp,9321,AED,UAE Dirham,LBP,Lebanese Pound
AED/NPR,AED/NPR - UAE Dirham Nepalese Rupee,aed-npr,9323,AED,UAE Dirham,NPR,Nepalese Rupee
AED/PAB,AED/PAB - UAE Dirham Panamanian Balboa,aed-pab,9324,AED,UAE Dirham,PAB,Panamanian Balboa
AED/EGP,AED/EGP - UAE Dirham Egyptian Pound,aed-egp,9325,AED,UAE Dirham,EGP,Egyptian Pound
AED/IDR,AED/IDR - UAE Dirham Indonesian Rupiah,aed-idr,9326,AED,UAE Dirham,IDR,Indonesian Rupiah
AED/TWD,AED/TWD - UAE Dirham Taiwan Dollar,aed-twd,9327,AED,UAE Dirham,TWD,Taiwan Dollar
AED/MYR,AED/MYR - UAE Dirham Malaysian Ringgit,aed-myr,9328,AED,UAE Dirham,MYR,Malaysian Ringgit
AED/XOF,AED/XOF - UAE Dirham West African CFA franc,aed-xof,9329,AED,UAE Dirham,XOF,West African CFA franc
ARS/AED,ARS/AED - Argentinian Peso UAE Dirham,ars-aed,9330,ARS,Argentinian Peso,AED,UAE Dirham
AUD/AED,AUD/AED - Australian Dollar UAE Dirham,aud-aed,9383,AUD,Australian Dollar,AED,UAE Dirham
BRL/AED,BRL/AED - Brazil Real UAE Dirham,brl-aed,9412,BRL,Brazil Real,AED,UAE Dirham
CNY/AED,CNY/AED - Chinese Yuan UAE Dirham,cny-aed,9488,CNY,Chinese Yuan,AED,UAE Dirham
HKD/AED,HKD/AED - Hong Kong Dollar UAE Dirham,hkd-aed,9613,HKD,Hong Kong Dollar,AED,UAE Dirham
ILS/AED,ILS/AED - Israeli Shekel UAE Dirham,ils-aed,9673,ILS,Israeli Shekel,AED,UAE Dirham
MXN/AED,MXN/AED - Mexican Peso UAE Dirham,mxn-aed,9788,MXN,Mexican Peso,AED,UAE Dirham
NOK/AED,NOK/AED - Norwegian Krone UAE Dirham,nok-aed,9836,NOK,Norwegian Krone,AED,UAE Dirham
NZD/AED,NZD/AED - New Zealand Dollar UAE Dirham,nzd-aed,9888,NZD,New Zealand Dollar,AED,UAE Dirham
PLN/AED,PLN/AED - Polish Zloty UAE Dirham,pln-aed,9971,PLN,Polish Zloty,AED,UAE Dirham
RUB/AED,RUB/AED - Russian Ruble UAE Dirham,rub-aed,10024,RUB,Russian Ruble,AED,UAE Dirham
SAR/AED,SAR/AED - Saudi Riyal UAE Dirham,sar-aed,10069,SAR,Saudi Riyal,AED,UAE Dirham
SEK/AED,SEK/AED - Swedish Krona UAE Dirham,sek-aed,10125,SEK,Swedish Krona,AED,UAE Dirham
SGD/AED,SGD/AED - Singapore Dollar UAE Dirham,sgd-aed,10174,SGD,Singapore Dollar,AED,UAE Dirham
THB/AED,THB/AED - Thai Baht UAE Dirham,thb-aed,10208,THB,Thai Baht,AED,UAE Dirham
TRY/AED,TRY/AED - Turkish Lira UAE Dirham,try-aed,10241,TRY,Turkish Lira,AED,UAE Dirham
TWD/AED,TWD/AED - Taiwan Dollar UAE Dirham,twd-aed,10295,TWD,Taiwan Dollar,AED,UAE Dirham
VES/AED,VES/AED - Venezuelan Bolivar UAE Dirham,vef-aed,10345,VES,Venezuelan Bolivar,AED,UAE Dirham
ZAR/AED,ZAR/AED - South African Rand UAE Dirham,zar-aed,10402,ZAR,South African Rand,AED,UAE Dirham
AED/KWD,AED/KWD - UAE Dirham Kuwaiti Dinar,aed-kwd,14472,AED,UAE Dirham,KWD,Kuwaiti Dinar
EGP/AED,EGP/AED - Egyptian Pound UAE Dirham,egp-aed,14473,EGP,Egyptian Pound,AED,UAE Dirham
KWD/AED,KWD/AED - Kuwaiti Dinar UAE Dirham,kwd-aed,14487,KWD,Kuwaiti Dinar,AED,UAE Dirham
JOD/AED,JOD/AED - Jordan Dinar UAE Dirham,jod-aed,950992,JOD,Jordan Dinar,AED,UAE Dirham
EUR/AFN,EUR/AFN - Euro Afghanistan Afghani,eur-afn,1605,EUR,Euro,AFN,Afghanistan Afghani
USD/AFN,USD/AFN - US Dollar Afghanistan Afghani,usd-afn,1153332,USD,US Dollar,AFN,Afghanistan Afghani
AFN/USD,AFN/USD - Afghanistan Afghani US Dollar,afn-usd,1153333,AFN,Afghanistan Afghani,USD,US Dollar
EUR/ALL,EUR/ALL - Euro Albanian Lek,eur-all,1606,EUR,Euro,ALL,Albanian Lek
GBP/ALL,GBP/ALL - British Pound Albanian Lek,gbp-all,1728,GBP,British Pound,ALL,Albanian Lek
USD/ALL,USD/ALL - US Dollar Albanian Lek,usd-all,2086,USD,US Dollar,ALL,Albanian Lek
USD/AMD,USD/AMD - US Dollar Armenian Dram,usd-amd,2087,USD,US Dollar,AMD,Armenian Dram
EUR/AMD,EUR/AMD - Euro Armenian Dram,eur-amd,962661,EUR,Euro,AMD,Armenian Dram
RUB/AMD,RUB/AMD - Russian Ruble Armenian Dram,rub-amd,993175,RUB,Russian Ruble,AMD,Armenian Dram
AMD/RUB,AMD/RUB - Armenian Dram Russian Ruble,amdrubfix=,1089805,AMD,Armenian Dram,RUB,Russian Ruble
EUR/ANG,EUR/ANG - Euro Antilles Guilder,eur-ang,1607,EUR,Euro,ANG,Antilles Guilder
USD/ANG,USD/ANG - US Dollar Antilles Guilder,usd-ang,2088,USD,US Dollar,ANG,Antilles Guilder
USD/AOA,USD/AOA - US Dollar Angolan kwanza,usd-aoa,1059868,USD,US Dollar,AOA,Angolan kwanza
EUR/AOA,EUR/AOA - Euro Angolan kwanza,eur-aoa,1059870,EUR,Euro,AOA,Angolan kwanza
ARS/BRL,ARS/BRL - Argentinian Peso Brazil Real,ars-brl,1473,ARS,Argentinian Peso,BRL,Brazil Real
ARS/HKD,ARS/HKD - Argentinian Peso Hong Kong Dollar,ars-hkd,1478,ARS,Argentinian Peso,HKD,Hong Kong Dollar
ARS/JPY,ARS/JPY - Argentinian Peso Japanese Yen,ars-jpy,1479,ARS,Argentinian Peso,JPY,Japanese Yen
ARS/MXN,ARS/MXN - Argentinian Peso Mexican Peso,ars-mxn,1480,ARS,Argentinian Peso,MXN,Mexican Peso
AUD/ARS,AUD/ARS - Australian Dollar Argentinian Peso,aud-ars,1484,AUD,Australian Dollar,ARS,Argentinian Peso
BRL/ARS,BRL/ARS - Brazil Real Argentinian Peso,brl-ars,1505,BRL,Brazil Real,ARS,Argentinian Peso
CAD/ARS,CAD/ARS - Canadian Dollar Argentinian Peso,cad-ars,1521,CAD,Canadian Dollar,ARS,Argentinian Peso
CHF/ARS,CHF/ARS - Swiss Franc Argentinian Peso,chf-ars,1541,CHF,Swiss Franc,ARS,Argentinian Peso
EUR/ARS,EUR/ARS - Euro Argentinian Peso,eur-ars,1608,EUR,Euro,ARS,Argentinian Peso
GBP/ARS,GBP/ARS - British Pound Argentinian Peso,gbp-ars,1729,GBP,British Pound,ARS,Argentinian Peso
HKD/ARS,HKD/ARS - Hong Kong Dollar Argentinian Peso,hkd-ars,1812,HKD,Hong Kong Dollar,ARS,Argentinian Peso
JPY/ARS,JPY/ARS - Japanese Yen Argentinian Peso,jpy-ars,1888,JPY,Japanese Yen,ARS,Argentinian Peso
SGD/ARS,SGD/ARS - Singapore Dollar Argentinian Peso,sgd-ars,2025,SGD,Singapore Dollar,ARS,Argentinian Peso
USD/ARS,USD/ARS - US Dollar Argentinian Peso,usd-ars,2090,USD,US Dollar,ARS,Argentinian Peso
ARS/AUD,ARS/AUD - Argentinian Peso Australian Dollar,ars-aud,9331,ARS,Argentinian Peso,AUD,Australian Dollar
ARS/CAD,ARS/CAD - Argentinian Peso Canadian Dollar,ars-cad,9332,ARS,Argentinian Peso,CAD,Canadian Dollar
ARS/CHF,ARS/CHF - Argentinian Peso Swiss Franc,ars-chf,9333,ARS,Argentinian Peso,CHF,Swiss Franc
ARS/CLP,ARS/CLP - Argentinian Peso Chilean Peso,ars-clp,9334,ARS,Argentinian Peso,CLP,Chilean Peso
ARS/CNY,ARS/CNY - Argentinian Peso Chinese Yuan,ars-cny,9335,ARS,Argentinian Peso,CNY,Chinese Yuan
ARS/CZK,ARS/CZK - Argentinian Peso Czech Koruna,ars-czk,9336,ARS,Argentinian Peso,CZK,Czech Koruna
ARS/DKK,ARS/DKK - Argentinian Peso Danish Krone,ars-dkk,9337,ARS,Argentinian Peso,DKK,Danish Krone
ARS/EUR,ARS/EUR - Argentinian Peso Euro,ars-eur,9338,ARS,Argentinian Peso,EUR,Euro
ARS/GBP,ARS/GBP - Argentinian Peso British Pound,ars-gbp,9339,ARS,Argentinian Peso,GBP,British Pound
ARS/HUF,ARS/HUF - Argentinian Peso Hungarian Forint,ars-huf,9340,ARS,Argentinian Peso,HUF,Hungarian Forint
ARS/ILS,ARS/ILS - Argentinian Peso Israeli Shekel,ars-ils,9341,ARS,Argentinian Peso,ILS,Israeli Shekel
ARS/INR,ARS/INR - Argentinian Peso Indian Rupee,ars-inr,9342,ARS,Argentinian Peso,INR,Indian Rupee
ARS/ISK,ARS/ISK - Argentinian Peso Icelandic Kr,ars-isk,9343,ARS,Argentinian Peso,ISK,Icelandic Kr
ARS/KRW,ARS/KRW - Argentinian Peso Korean Won,ars-krw,9344,ARS,Argentinian Peso,KRW,Korean Won
ARS/MAD,ARS/MAD - Argentinian Peso Moroccan Dirham,ars-mad,9345,ARS,Argentinian Peso,MAD,Moroccan Dirham
ARS/NOK,ARS/NOK - Argentinian Peso Norwegian Krone,ars-nok,9346,ARS,Argentinian Peso,NOK,Norwegian Krone
ARS/NZD,ARS/NZD - Argentinian Peso New Zealand Dollar,ars-nzd,9347,ARS,Argentinian Peso,NZD,New Zealand Dollar
ARS/PHP,ARS/PHP - Argentinian Peso Philippine Peso,ars-php,9348,ARS,Argentinian Peso,PHP,Philippine Peso
ARS/PKR,ARS/PKR - Argentinian Peso Pakistani Rupee,ars-pkr,9349,ARS,Argentinian Peso,PKR,Pakistani Rupee
ARS/PLN,ARS/PLN - Argentinian Peso Polish Zloty,ars-pln,9350,ARS,Argentinian Peso,PLN,Polish Zloty
ARS/RUB,ARS/RUB - Argentinian Peso Russian Ruble,ars-rub,9351,ARS,Argentinian Peso,RUB,Russian Ruble
ARS/SAR,ARS/SAR - Argentinian Peso Saudi Riyal,ars-sar,9352,ARS,Argentinian Peso,SAR,Saudi Riyal
ARS/SEK,ARS/SEK - Argentinian Peso Swedish Krona,ars-sek,9353,ARS,Argentinian Peso,SEK,Swedish Krona
ARS/SGD,ARS/SGD - Argentinian Peso Singapore Dollar,ars-sgd,9354,ARS,Argentinian Peso,SGD,Singapore Dollar
ARS/THB,ARS/THB - Argentinian Peso Thai Baht,ars-thb,9355,ARS,Argentinian Peso,THB,Thai Baht
ARS/TRY,ARS/TRY - Argentinian Peso Turkish Lira,ars-try,9356,ARS,Argentinian Peso,TRY,Turkish Lira
ARS/USD,ARS/USD - Argentinian Peso US Dollar,ars-usd,9357,ARS,Argentinian Peso,USD,US Dollar
ARS/VES,ARS/VES - Argentinian Peso Venezuelan Bolivar,ars-vef,9358,ARS,Argentinian Peso,VES,Venezuelan Bolivar
ARS/XAF,ARS/XAF - Argentinian Peso Central African Franc,ars-xaf,9359,ARS,Argentinian Peso,XAF,Central African Franc
ARS/XCD,ARS/XCD - Argentinian Peso East Caribbean Dollar,ars-xcd,9360,ARS,Argentinian Peso,XCD,East Caribbean Dollar
ARS/ZAR,ARS/ZAR - Argentinian Peso South African Rand,ars-zar,9361,ARS,Argentinian Peso,ZAR,South African Rand
ARS/BBD,ARS/BBD - Argentinian Peso Barbadian Dollar,ars-bbd,9362,ARS,Argentinian Peso,BBD,Barbadian Dollar
ARS/BHD,ARS/BHD - Argentinian Peso Baharain Dinar,ars-bhd,9363,ARS,Argentinian Peso,BHD,Baharain Dinar
ARS/JOD,ARS/JOD - Argentinian Peso Jordan Dinar,ars-jod,9365,ARS,Argentinian Peso,JOD,Jordan Dinar
ARS/NAD,ARS/NAD - Argentinian Peso Namibian Dollar,ars-nad,9366,ARS,Argentinian Peso,NAD,Namibian Dollar
ARS/OMR,ARS/OMR - Argentinian Peso Omani Rial,ars-omr,9367,ARS,Argentinian Peso,OMR,Omani Rial
ARS/QAR,ARS/QAR - Argentinian Peso Qatari Riyal,ars-qar,9368,ARS,Argentinian Peso,QAR,Qatari Riyal
ARS/JMD,ARS/JMD - Argentinian Peso Jamaican Dollar,ars-jmd,9369,ARS,Argentinian Peso,JMD,Jamaican Dollar
ARS/KES,ARS/KES - Argentinian Peso Kenyan Shilling,ars-kes,9370,ARS,Argentinian Peso,KES,Kenyan Shilling
ARS/LKR,ARS/LKR - Argentinian Peso Sri Lankan Rupee,ars-lkr,9371,ARS,Argentinian Peso,LKR,Sri Lankan Rupee
ARS/RON,ARS/RON - Argentinian Peso Romanian Leu,ars-ron,9373,ARS,Argentinian Peso,RON,Romanian Leu
ARS/LBP,ARS/LBP - Argentinian Peso Lebanese Pound,ars-lbp,9374,ARS,Argentinian Peso,LBP,Lebanese Pound
ARS/NPR,ARS/NPR - Argentinian Peso Nepalese Rupee,ars-npr,9376,ARS,Argentinian Peso,NPR,Nepalese Rupee
ARS/PAB,ARS/PAB - Argentinian Peso Panamanian Balboa,ars-pab,9377,ARS,Argentinian Peso,PAB,Panamanian Balboa
ARS/EGP,ARS/EGP - Argentinian Peso Egyptian Pound,ars-egp,9378,ARS,Argentinian Peso,EGP,Egyptian Pound
ARS/IDR,ARS/IDR - Argentinian Peso Indonesian Rupiah,ars-idr,9379,ARS,Argentinian Peso,IDR,Indonesian Rupiah
ARS/MYR,ARS/MYR - Argentinian Peso Malaysian Ringgit,ars-myr,9380,ARS,Argentinian Peso,MYR,Malaysian Ringgit
ARS/XOF,ARS/XOF - Argentinian Peso West African CFA franc,ars-xof,9381,ARS,Argentinian Peso,XOF,West African CFA franc
ARS/TWD,ARS/TWD - Argentinian Peso Taiwan Dollar,ars-twd,9382,ARS,Argentinian Peso,TWD,Taiwan Dollar
CNY/ARS,CNY/ARS - Chinese Yuan Argentinian Peso,cny-ars,9489,CNY,Chinese Yuan,ARS,Argentinian Peso
DKK/ARS,DKK/ARS - Danish Krone Argentinian Peso,dkk-ars,9571,DKK,Danish Krone,ARS,Argentinian Peso
ILS/ARS,ILS/ARS - Israeli Shekel Argentinian Peso,ils-ars,9674,ILS,Israeli Shekel,ARS,Argentinian Peso
MXN/ARS,MXN/ARS - Mexican Peso Argentinian Peso,mxn-ars,9789,MXN,Mexican Peso,ARS,Argentinian Peso
NOK/ARS,NOK/ARS - Norwegian Krone Argentinian Peso,nok-ars,9837,NOK,Norwegian Krone,ARS,Argentinian Peso
NZD/ARS,NZD/ARS - New Zealand Dollar Argentinian Peso,nzd-ars,9889,NZD,New Zealand Dollar,ARS,Argentinian Peso
PLN/ARS,PLN/ARS - Polish Zloty Argentinian Peso,pln-ars,9972,PLN,Polish Zloty,ARS,Argentinian Peso
RUB/ARS,RUB/ARS - Russian Ruble Argentinian Peso,rub-ars,10025,RUB,Russian Ruble,ARS,Argentinian Peso
SAR/ARS,SAR/ARS - Saudi Riyal Argentinian Peso,sar-ars,10070,SAR,Saudi Riyal,ARS,Argentinian Peso
SEK/ARS,SEK/ARS - Swedish Krona Argentinian Peso,sek-ars,10126,SEK,Swedish Krona,ARS,Argentinian Peso
THB/ARS,THB/ARS - Thai Baht Argentinian Peso,thb-ars,10209,THB,Thai Baht,ARS,Argentinian Peso
TRY/ARS,TRY/ARS - Turkish Lira Argentinian Peso,try-ars,10242,TRY,Turkish Lira,ARS,Argentinian Peso
TWD/ARS,TWD/ARS - Taiwan Dollar Argentinian Peso,twd-ars,10296,TWD,Taiwan Dollar,ARS,Argentinian Peso
VES/ARS,VES/ARS - Venezuelan Bolivar Argentinian Peso,vef-ars,10346,VES,Venezuelan Bolivar,ARS,Argentinian Peso
ZAR/ARS,ZAR/ARS - South African Rand Argentinian Peso,zar-ars,10403,ZAR,South African Rand,ARS,Argentinian Peso
ARS/PYG,ARS/PYG - Argentinian Peso Paraguayan Guarani,ars-pyg,10446,ARS,Argentinian Peso,PYG,Paraguayan Guarani
ARS/UYU,ARS/UYU - Argentinian Peso Uruguayan Peso,ars-uyu,10447,ARS,Argentinian Peso,UYU,Uruguayan Peso
ARS/COP,ARS/COP - Argentinian Peso Colombian Peso,ars-cop,10448,ARS,Argentinian Peso,COP,Colombian Peso
ARS/PEN,ARS/PEN - Argentinian Peso Peru Sol,ars-pen,10449,ARS,Argentinian Peso,PEN,Peru Sol
ARS/BOB,ARS/BOB - Argentinian Peso Bolivian Boliviano,ars-bob,10450,ARS,Argentinian Peso,BOB,Bolivian Boliviano
CLP/ARS,CLP/ARS - Chilean Peso Argentinian Peso,clp-ars,10451,CLP,Chilean Peso,ARS,Argentinian Peso
PYG/ARS,PYG/ARS - Paraguayan Guarani Argentinian Peso,pyg-ars,10452,PYG,Paraguayan Guarani,ARS,Argentinian Peso
UYU/ARS,UYU/ARS - Uruguayan Peso Argentinian Peso,uyu-ars,10453,UYU,Uruguayan Peso,ARS,Argentinian Peso
COP/ARS,COP/ARS - Colombian Peso Argentinian Peso,cop-ars,10454,COP,Colombian Peso,ARS,Argentinian Peso
PEN/ARS,PEN/ARS - Peru Sol Argentinian Peso,pen-ars,10455,PEN,Peru Sol,ARS,Argentinian Peso
BOB/ARS,BOB/ARS - Bolivian Boliviano Argentinian Peso,bob-ars,10456,BOB,Bolivian Boliviano,ARS,Argentinian Peso
AUD/USD,AUD/USD - Australian Dollar US Dollar,aud-usd,5,AUD,Australian Dollar,USD,US Dollar
EUR/AUD,EUR/AUD - Euro Australian Dollar,eur-aud,15,EUR,Euro,AUD,Australian Dollar
AUD/CAD,AUD/CAD - Australian Dollar Canadian Dollar,aud-cad,47,AUD,Australian Dollar,CAD,Canadian Dollar
AUD/CHF,AUD/CHF - Australian Dollar Swiss Franc,aud-chf,48,AUD,Australian Dollar,CHF,Swiss Franc
AUD/JPY,AUD/JPY - Australian Dollar Japanese Yen,aud-jpy,49,AUD,Australian Dollar,JPY,Japanese Yen
AUD/NZD,AUD/NZD - Australian Dollar New Zealand Dollar,aud-nzd,50,AUD,Australian Dollar,NZD,New Zealand Dollar
GBP/AUD,GBP/AUD - British Pound Australian Dollar,gbp-aud,53,GBP,British Pound,AUD,Australian Dollar
AUD/PLN,AUD/PLN - Australian Dollar Polish Zloty,aud-pln,84,AUD,Australian Dollar,PLN,Polish Zloty
AUD/NOK,AUD/NOK - Australian Dollar Norwegian Krone,aud-nok,109,AUD,Australian Dollar,NOK,Norwegian Krone
AUD/ZAR,AUD/ZAR - Australian Dollar South African Rand,aud-zar,122,AUD,Australian Dollar,ZAR,South African Rand
AUD/SGD,AUD/SGD - Australian Dollar Singapore Dollar,aud-sgd,125,AUD,Australian Dollar,SGD,Singapore Dollar
AUD/THB,AUD/THB - Australian Dollar Thai Baht,aud-thb,130,AUD,Australian Dollar,THB,Thai Baht
AUD/SEK,AUD/SEK - Australian Dollar Swedish Krona,aud-sek,137,AUD,Australian Dollar,SEK,Swedish Krona
AUD/CZK,AUD/CZK - Australian Dollar Czech Koruna,aud-czk,139,AUD,Australian Dollar,CZK,Czech Koruna
AUD/DKK,AUD/DKK - Australian Dollar Danish Krone,aud-dkk,144,AUD,Australian Dollar,DKK,Danish Krone
AUD/HKD,AUD/HKD - Australian Dollar Hong Kong Dollar,aud-hkd,146,AUD,Australian Dollar,HKD,Hong Kong Dollar
AUD/BRL,AUD/BRL - Australian Dollar Brazil Real,aud-brl,1485,AUD,Australian Dollar,BRL,Brazil Real
AUD/CNY,AUD/CNY - Australian Dollar Chinese Yuan,aud-cny,1486,AUD,Australian Dollar,CNY,Chinese Yuan
AUD/EUR,AUD/EUR - Australian Dollar Euro,aud-eur,1487,AUD,Australian Dollar,EUR,Euro
AUD/FJD,AUD/FJD - Australian Dollar Fiji Dollar,aud-fjd,1488,AUD,Australian Dollar,FJD,Fiji Dollar
AUD/GBP,AUD/GBP - Australian Dollar British Pound,aud-gbp,1489,AUD,Australian Dollar,GBP,British Pound
AUD/HUF,AUD/HUF - Australian Dollar Hungarian Forint,aud-huf,1490,AUD,Australian Dollar,HUF,Hungarian Forint
AUD/IDR,AUD/IDR - Australian Dollar Indonesian Rupiah,aud-idr,1491,AUD,Australian Dollar,IDR,Indonesian Rupiah
AUD/ILS,AUD/ILS - Australian Dollar Israeli Shekel,aud-ils,1492,AUD,Australian Dollar,ILS,Israeli Shekel
AUD/INR,AUD/INR - Australian Dollar Indian Rupee,aud-inr,1493,AUD,Australian Dollar,INR,Indian Rupee
AUD/KRW,AUD/KRW - Australian Dollar Korean Won,aud-krw,1494,AUD,Australian Dollar,KRW,Korean Won
AUD/MXN,AUD/MXN - Australian Dollar Mexican Peso,aud-mxn,1495,AUD,Australian Dollar,MXN,Mexican Peso
AUD/MYR,AUD/MYR - Australian Dollar Malaysian Ringgit,aud-myr,1496,AUD,Australian Dollar,MYR,Malaysian Ringgit
AUD/PKR,AUD/PKR - Australian Dollar Pakistani Rupee,aud-pkr,1497,AUD,Australian Dollar,PKR,Pakistani Rupee
AUD/TWD,AUD/TWD - Australian Dollar Taiwan Dollar,aud-twd,1498,AUD,Australian Dollar,TWD,Taiwan Dollar
