name,tag,symbol,id,currency,status
Electra,electra,ECA,1071427,USD,available
MovieBloc,,MBL,,,unavailable
TaaS,taas,TAAS,1061513,USD,available
Dusk Network,,DUSK,,,unavailable
AdEx,adx-net,ADX,1061473,USD,available
Perlin,,PERL,,,unavailable
Namecoin,namecoin,NMC,1061533,USD,available
Nucleus Vision,nucleus-vision,NCASH,1081649,USD,available
DMarket,dmarket,DMT,1093950,USD,available
Measurable Data Token,measurable-data-token,MDT,1066728,USD,available
PAX Gold,,PAXG,,,unavailable
Contents Protocol,,CPT,,,unavailable
CyberVein,cybervein,CVT,1075363,USD,available
Safex Token,,SFT,,,unavailable
Dropil,dropil,DROP,1082108,USD,available
FOAM,,FOAM,,,unavailable
Everus,everus,EVR,1071831,USD,available
PumaPay,pumapay,PMA,1117866,USD,available
Metronome,metronome,MET,1094107,USD,available
Hydro,hydrogen,HYDRO,1094082,USD,available
XcelToken Plus,,XLAB,,,unavailable
BOSAGORA,,BOA,,,unavailable
Selfkey,selfkey,KEY,1066732,USD,available
Insolar,insolar,INS,1094081,USD,available
NavCoin,nav-coin,NAV,1061834,USD,available
Monero Classic,,XMC,,,unavailable
Peercoin,peercoin,PPC,1061845,USD,available
USDQ,,USDQ,,,unavailable
Stakenet,stakenet,XSN,1075380,USD,available
VIDY,,VIDY,,,unavailable
BORA,,BORA,,,unavailable
TokenClub,tokenclub,TCT,1094186,USD,available
IDEX,,IDEX,,,unavailable
Universa,universa,UTNP,1071976,USD,available
Digix Gold Token,,DGX,,,unavailable
Snetwork,,SNET,,,unavailable
Kin,kin,KIN,1066655,USD,available
DADI,dadi,DADI,1071978,USD,available
ProximaX,proximax,XPX,1117865,USD,available
SaluS,salus,SLS,1070375,USD,available
ETHLend,ethlend,LEND,1061509,USD,available
Burst,burst,BURST,1066671,USD,available
NaPoleonX,,NPX,,,unavailable
SALT,salt,SALT,1061530,USD,available
Rocket Pool,,RPL,,,unavailable
Asch,asch,XAS,1066637,USD,available
Blocknet,blocknet,BLOCK,1062838,USD,available
ARPA Chain,,ARPA,,,unavailable
Investcoin,investcoin,INVC,1129167,USD,available
Pirate Chain,,ARRR,,,unavailable
SingularDTV,singulardtv,SNGLS,1061832,USD,available
SIX,,SIX,,,unavailable
SONM,sonm,SNM,1061492,USD,available
doc.com Token,doc-com-token,MTC,1094183,USD,available
VNT Chain,,VNT,,,unavailable
Monetha,monetha,MTH,1061797,USD,available
DAPS Token,daps-token,DAPS,1116045,USD,available
Dero,dero,DERO,1096010,USD,available
PAC Global,,PAC,,,unavailable
Dock,dock,DOCK,1116262,USD,available
OAX,oax,OAX,1071251,USD,available
Melon,melon,MLN,1061524,USD,available
Aergo,,AERGO,,,unavailable
Bluzelle,bluzelle,BLZ,1065485,USD,available
Steem Dollars,steem-dollars,SBD,1094203,USD,available
ChainX,,PCX,,,unavailable
Gemini Dollar,gemini-dollar,GUSD,1117721,USD,available
Wrapped Bitcoin,,WBTC,,,unavailable
STACS,,STACS,,,unavailable
Odyssey,odyssey,OCN,1071981,USD,available
CWV Chain,,CWV,,,unavailable
Mothership,mothership,MSP,1071227,USD,available
DeepBrain Chain,deepbrain-chain,DBC,1066723,USD,available
VeriBlock,,VBK,,,unavailable
Humanscape,,HUM,,,unavailable
DAO.Casino,,BET,,,unavailable
SwissBorg,,CHSB,,,unavailable
LTO Network,,LTO,,,unavailable
Genesis Vision,genesis-vision,GVT,1065481,USD,available
Amoveo,,VEO,,,unavailable
CommerceBlock,commerceblock,CBT,1072121,USD,available
Sense,,SENSE,,,unavailable
Darico Ecosystem Coin,,DEC,,,unavailable
TERA,,TERA,,,unavailable
WePower,wepower,WPR,1066745,USD,available
Band Protocol,,BAND,,,unavailable
TrustVerse,,TRV,,,unavailable
BaaSid,,BAAS,,,unavailable
BidiPass,,BDP,,,unavailable
Cosmo Coin,cosmo-coin,COSM,1094069,USD,available
BlackCoin,blackcoin,BLK,1066677,USD,available
U Network,,UUU,,,unavailable
BOX Token,,BOX,,,unavailable
MintCoin,mintcoin,MINT,1070342,USD,available
Invictus Hyperion Fund,,IHF,,,unavailable
Red Pulse Phoenix,red-pulse,PHX,1066665,USD,available
Pivot Token,,PVT,,,unavailable
DigitalNote,digitalnote,XDN,1061475,USD,available
FLETA,,FLETA,,,unavailable
Counterparty,counterparty,XCP,1066566,USD,available
VIBE,vibe,VIBE,1065444,USD,available
CyberFM,,CYFM,,,unavailable
IPChain,,IPC,,,unavailable
Morpheus.Network,,MRPH,,,unavailable
High Performance Blockchain,high-performance-blockchain,HPB,1065172,USD,available
Viacoin,viacoin,VIA,1066569,USD,available
FLO,flo,FLO,1066680,USD,available
Pepe Cash,,PEPECASH,,,unavailable
QuickX Protocol,,QCX,,,unavailable
ECC,eccoin,ECC,1071282,USD,available
Litecoin Cash,litecoin-cash,LCC,1066754,USD,available
Ultra,,UOS,,,unavailable
Moss Coin,,MOC,,,unavailable
Prospectors Gold,prospectors-gold,PGL,1071317,USD,available
ContentBox,contentbox,BOX,1094020,USD,available
VITE,vite,VITE,1094113,USD,available
Travala.com,,AVA,,,unavailable
Gulden,gulden,NLG,1066597,USD,available
Nectar,nectar,NEC,1094245,USD,available
Propy,propy,PRO,1061868,USD,available
SmartCash,smartcash,SMART,1066662,USD,available
DAOstack,daostack,GEN,1089380,USD,available
Credo,credo,CREDO,1071212,USD,available
Jibrel Network,jibrel-network,JNT,1066544,USD,available
GET Protocol,,GET,,,unavailable
Litex,,LXT,,,unavailable
LiquidApps,,DAPP,,,unavailable
SwftCoin,swftcoin,SWFTC,1066735,USD,available
SIRIN LABS Token,sirin-labs-token,SRN,1066706,USD,available
YOYOW,yoyow,YOYOW,1061472,USD,available
Hubii Network,hubii-network,HBT,1072143,USD,available
Sealchain,,SEAL,,,unavailable
BLOCKv,blockv,VEE,1061468,USD,available
Infinitus Token,,INF,,,unavailable
ZelCash,,ZEL,,,unavailable
Krios,,KRI,,,unavailable
Compound Coin,,COMP,,,unavailable
Emercoin,emercoin,EMC,1061542,USD,available
XinFin Network,xinfin-network,XDCE,1089400,USD,available
Ambrosus,amber,AMB,1066669,USD,available
Ether Zero,,ETZ,,,unavailable
Axe,,AXE,,,unavailable
Neumark,neumark,NEU,1094193,USD,available
Bitcoin Rhodium,,XRC,,,unavailable
QunQun,qunqun,QUN,1066731,USD,available
VeriDocGlobal,,VDG,,,unavailable
Hi Mutual Society,,HMC,,,unavailable
QLC Chain,qlink,QLC,1066730,USD,available
Sentinel Protocol,sentinel-protocol,UPP,1089398,USD,available
IntelliShare,,INE,,,unavailable
Etherparty,etherparty,FUEL,1061535,USD,available
Agrello,agrello-delta,DLT,1070371,USD,available
DEX,dex,DEX,1117863,USD,available
BitBay,bitbay,BAY,1066567,USD,available
Aeon,aeon,AEON,1066599,USD,available
Morpheus Labs,,MITX,,,unavailable
Veil,,VEIL,,,unavailable
Rialto,rialto,XRL,1071217,USD,available
StableUSD,,USDS,,,unavailable
AirSwap,airswap,AST,1061491,USD,available
BitMart Token,,BMX,,,unavailable
district0x,district0x,DNT,1061802,USD,available
Cube,cube,AUTO,1094129,USD,available
DATA,data,DTA,1066751,USD,available
Ubiq,ubiq,UBQ,1065392,USD,available
Lympo,lympo,LYM,1094058,USD,available
VideoCoin,,VID,,,unavailable
Chimpion,,BNANA,,,unavailable
Credit Tag Chain,,CTC,,,unavailable
Aeron,aeron,ARN,1071259,USD,available
AIDUS TOKEN,,AID,,,unavailable
Mobius,mobius,MOBI,1094006,USD,available
Poseidon Network,,QQQ,,,unavailable
Vites,,VITES,,,unavailable
POA,poa,POA,1072122,USD,available
#MetaHash,metahash,MHC,1141877,USD,available
Refereum,refereum,RFR,1094077,USD,available
AMO Coin,,AMO,,,unavailable
Hydro Protocol,hydro-protocol,HOT,1129254,USD,available
Eterbase Coin,,XBASE,,,unavailable
Eminer,,EM,,,unavailable
Ternio,ternio,TERN,1094103,USD,available
GameCredits,gamecredits,GAME,1064944,USD,available
Digital Asset Guarantee Token,,DAGT,,,unavailable
BOScoin,boscoin,BOS,1094178,USD,available
EURBASE,,EBASE,,,unavailable
Amino Network,,AMIO,,,unavailable
Ethos,ethos,ETHOS,1061884,USD,available
Xaurum,xaurum,XAUR,1070402,USD,available
Zipper,,ZIP,,,unavailable
HalalChain,,HLC,,,unavailable
AppCoins,appcoins,APPC,1066541,USD,available
Ondori,,RSTR,,,unavailable
Scry.info,scryinfo,DDD,1093973,USD,available
Blockmason Credit Protocol,blockmason,BCPT,1068302,USD,available
LuckChain,luckchain,BASH,1071364,USD,available
PLANET,,PLA,,,unavailable
Haven Protocol,haven-protocol,XHV,1079296,USD,available
Online,,OIO,,,unavailable
INLOCK,,ILK,,,unavailable
Linkey,,LKY,,,unavailable
Gene Source Code Chain,,GENE,,,unavailable
V-ID,,VIDT,,,unavailable
Global Currency Reserve,global-currency-reserve,GCR,1071203,USD,available
PlayCoin [ERC20],,PLY,,,unavailable
Clams,clams,CLAM,1071199,USD,available
Etheroll,etheroll,DICE,1072130,USD,available
Pascal Coin,pascal-coin,PASC,1071209,USD,available
Feathercoin,feathercoin,FTC,1071176,USD,available
Artfinity,,AT,,,unavailable
POPCHAIN,,PCH,,,unavailable
Edge,,DADI,,,unavailable
1World,,1WO,,,unavailable
Polybius,polybius,PLBT,1061877,USD,available
Akropolis,,AKRO,,,unavailable
PolySwarm,,NCT,,,unavailable
Endor Protocol,endor-protocol,EDR,1089475,USD,available
LBRY Credits,library-credit,LBC,1066762,USD,available
ColossusXT,colossusxt,COLX,1071490,USD,available
XTRABYTES,xtrabytes,XBY,1066672,USD,available
Quanta Utility Token,,QNTU,,,unavailable
Game.com,game,GTC,1094194,USD,available
Rublix,,RBLX,,,unavailable
Flash,flash,FLASH,1071735,USD,available
Halo Platform,,HALO,,,unavailable
Abyss Token,,ABYSS,,,unavailable
Pundi X NEM,,NPXSXEM,,,unavailable
bitUSD,,BITUSD,,,unavailable
APIS,apis,APIS,1094176,USD,available
Hashgard,,GARD,,,unavailable
OriginTrail,origintrail,TRAC,1094112,USD,available
