,name,tag
91,Elecnor,elecnor
92,Azkoyen,azkoyen
93,Aperam,aperam
94,Sniace,sniace
95,Ercros,ercros
96,Codere,codere
97,Bayer,bayer
98,Natra,natra
99,Amper,amper
100,Airbus Group,airbus-group
101,Prim,prim
102,Deoleo,deoleo
103,ArcelorMittal,arcelormittal
104,Abengoa B,abengoa-b
105,Liberbank,liberbank
106,Ebioss Energy,ebioss-energy
107,Entrecampos Cuatro,entrecampos-cuatro
108,PETROBRAS PN,petrobras-pn
109,America Movil,america-movil
110,BRADESPAR ON,bradespar-on
111,BRADESPAR PN,bradespar-pn
112,BRASKEM PNA,braskem-pna
113,COPEL PNB,copel-pnb
114,ELETROBRAS ON,eletrobras-on
115,ELETROBRAS PNB,eletrobras-pnb
116,PETROBRAS ON,petrobras-on
117,USIMINAS ON,usiminas-on
118,USIMINAS PNA,usiminas-pna
119,VALE ON,vale-on
120,Alfa,alfa
121,Grupo Elektra,grupo-elektra
122,Grupo Financiero Banorte,grupo-financiero-banorte
123,TV Azteca Cpo,tv-azteca-cpo
124,Frances,frances
125,CEMIG PN,cemig-pn
126,BRADESCO PN EJ N1 ,bradesco-pn-ej-n1-
127,GERDAU PN N1,gerdau-pn-n1
128,Volcan,volcan
129,1nkemia IUCT SA,1nkemia-iuct-sa
130,Ab-Biotics,ab-biotics
131,Altia,altia
132,ADL Bionatur,adl-bionatur
133,Catenon,catenon
134,Euroespes,euroespes
135,Eurona,eurona
136,Griñó Ecologic,grino-ecologic
137,Masmovil Ibercom,masmovil-ibercom
138,Imaginarium,imaginarium
139,Medcom Tech,medcom-tech
140,Neuron,neuron
141,Secuoya,secuoya
142,Zinkia,zinkia
143,eDreams,edreams
144,Lar España,lar-espana
145,Hispania,hispania
146,Applus,applus
147,Merlin Properties,merlin-properties
148,Facephi,facephi
149,Logista,logista
150,Cerbium,cerbium
151,Home Meal,home-meal
152,Aena,aena
153,Uro Property Holdings,uro-property-holdings
154,NBI Bearings Europe,nbi-bearings-europe
155,Naturhouse,naturhouse
156,Cellnex Telecom,cellnex-telecom
157,Talgo,talgo
158,Euskaltel SA,euskaltel-sa
159,Fidere Patrimonio SOCIMI SA,fidere-patrimonio-socimi-sa
160,Grenergy Renovables SA,grenergy-renovables-sa
161,Inclam CO2 SA,inclam-co2-sa
162,Trajano Iberia Socimi SA,trajano-iberia-socimi-sa
163,Lleidanetworks Serveis Telematics,lleidanetworks-serveis-telematics
164,Autonomy Spain Real Estate Socimi S,autonomy-spain-real-estate-socimi-s
165,Obsido Socimi SA,obsido-socimi-sa
166,Pharma Mar,pharma-mar
167,Gigas Hosting SA,gigas-hosting-sa
168,Neol Biosolutions SA,neol-biosolutions-sa
169,Agile Content SA,agile-content-sa
170,Think Smart SA,think-smart-sa
171,Zambal Spain Socimi SA,zambal-spain-socimi-sa
172,Oryzon Genomics SA,oryzon-genomics-sa
173,Tecnoquark Trust SA,tecnoquark-trust-sa
174,Clerhp Estructuras,clerhp-estructuras
175,Corpfin Capital Prime Retail III,corpfin-capital-prime-retail-iii
176,Global Dominion,global-dominion
177,Telepizza,telepizza
178,Parques Reunidos,parques-reunidos
179,Jaba I Inversiones,jaba-i-inversiones
180,Corporacion Geo SAB,corporacion-geo-sab
181,Silvercode Investments,silvercode-investments
182,Coca-Cola European,coca-cola-european
183,Asturias Retail,asturias-retail
184,Vitruvio Real Estate,vitruvio-real-estate
185,Isc Fresh Water,isc-fresh-water
186,Quonia SOCIMI,quonia-socimi
187,Atrys Health,atrys-health
188,Voztelecom Oigaa360,voztelecom-oigaa360
189,GMP Property,gmp-property
190,Optimum Re Spain,optimum-re-spain
191,CommCenter,commcenter
192,ECG,ecg
193,Clever Global,clever-global
194,Mondo TV,mondo-tv
195,Pangaea Oncology,pangaea-oncology
196,VBARE Iberian Properties,vbare-iberian-properties
197,Ores Socimi,ores-socimi
198,Prosegur Cash,prosegur-cash
199,Neinor Homes,neinor-homes
200,Gestamp,gestamp
201,Optimum III Value Added,optimum-iii-value-added
202,Asturiana de Laminados,asturiana-de-laminados
203,Unicaja Banco,unicaja-banco
204,GGC,ggc
205,Numulae Gestion de Servicios,numulae-gestion-de-servicios
206,Borges Agricultural,borges-agricultural
207,AM Locales Property,am-locales-property
208,Grupo Ortiz,grupo-ortiz
209,Domo Activos,domo-activos
210,Aedas Homes,aedas-homes
211,Netex Knowledge,netex-knowledge
212,Greenalia,greenalia
213,Student Properties,student-properties
214,Heref Habaneras,heref-habaneras
215,Robot,robot
216,Tempore Properties,tempore-properties
217,Serrano 61 Desarrollo,serrano-61-desarrollo
218,Ap67 Socimi,ap67-socimi
219,Tier1,tier1
220,Torbel Investmentד,torbel-investmentd
221,Quid Pro Quo Alquiler,quid-pro-quo-alquiler
222,Excem Socimi,excem-socimi
223,Castellana Properties,castellana-properties
224,Testa Residencial,testa-residencial
225,Berkeley Energy,berkeley-energy
226,Alquiber Quality,alquiber-quality
227,Go Madrid Benz,go-madrid-benz
228,Arima Real Estate,arima-real-estate
229,Amrest,amrest
230,Atom Hoteles,atom-hoteles
231,Solarpack Corporacion Tecnologica,solarpack-corporacion-tecnologica
